,precision,recall,accuracy
Setting_4_2.csv,1.0,1.0,1.0
Setting_6_10.csv,0.7,1.0,0.7
Setting_1_10.csv,0.3,1.0,0.3
Setting_4_15.csv,1.0,0.5,0.9
Setting_6_13.csv,0.9,1.0,0.9
Setting_5_7.csv,0.9,1.0,0.9
Setting_7_13.csv,1.0,1.0,1.0
Setting_3_20.csv,1.0,1.0,1.0
Setting_5_8.csv,1.0,1.0,1.0
Setting_7_15.csv,0.8571428571428571,1.0,0.9
Setting_4_9.csv,1.0,1.0,1.0
Setting_3_10.csv,1.0,1.0,1.0
Setting_4_11.csv,1.0,1.0,1.0
Setting_2_1.csv,1.0,1.0,1.0
Setting_2_19.csv,0.5714285714285714,0.8,0.6
Setting_4_19.csv,1.0,0.5,0.9
Setting_2_7.csv,0.6666666666666666,1.0,0.8
Setting_7_10.csv,1.0,1.0,1.0
Setting_3_15.csv,1.0,1.0,1.0
Setting_8_11.csv,0.8888888888888888,1.0,0.9
Setting_7_20.csv,1.0,1.0,1.0
Setting_2_15.csv,1.0,0.6666666666666666,0.9
Setting_6_16.csv,0.9,1.0,0.9
Setting_3_17.csv,1.0,1.0,1.0
Setting_2_9.csv,1.0,1.0,1.0
Setting_8_7.csv,1.0,1.0,1.0
Setting_1_15.csv,0.0,0.0,0.5
Setting_7_16.csv,0.875,1.0,0.9
Setting_1_1.csv,1.0,0.8,0.9
Setting_5_1.csv,1.0,1.0,1.0
Setting_8_12.csv,0.8571428571428571,0.8571428571428571,0.8
Setting_3_9.csv,0.0,0.0,0.0
Setting_4_16.csv,1.0,1.0,1.0
Setting_4_18.csv,1.0,1.0,1.0
Setting_7_1.csv,1.0,1.0,1.0
Setting_6_15.csv,1.0,1.0,1.0
Setting_4_17.csv,1.0,1.0,1.0
Setting_7_11.csv,0.75,1.0,0.8
Setting_4_14.csv,1.0,1.0,1.0
Setting_8_10.csv,0.8333333333333334,1.0,0.9
Setting_5_11.csv,0.8,1.0,0.8
Setting_2_6.csv,1.0,1.0,1.0
Setting_5_4.csv,0.9,1.0,0.9
Setting_2_11.csv,1.0,0.8571428571428571,0.9
Setting_1_4.csv,1.0,0.8,0.9
Setting_4_7.csv,1.0,1.0,1.0
Setting_2_3.csv,1.0,0.8,0.9
Setting_2_12.csv,1.0,0.6666666666666666,0.8
Setting_2_16.csv,1.0,0.6666666666666666,0.9
Setting_8_13.csv,1.0,1.0,1.0
Setting_1_2.csv,1.0,1.0,1.0
Setting_1_11.csv,1.0,1.0,1.0
Setting_8_6.csv,1.0,1.0,1.0
Setting_8_5.csv,1.0,1.0,1.0
Setting_7_7.csv,1.0,0.875,0.9
Setting_5_2.csv,1.0,1.0,1.0
Setting_7_18.csv,0.875,1.0,0.9
Setting_3_13.csv,1.0,1.0,1.0
Setting_3_18.csv,1.0,1.0,1.0
Setting_8_17.csv,1.0,1.0,1.0
Setting_8_18.csv,1.0,1.0,1.0
Setting_8_4.csv,1.0,1.0,1.0
Setting_7_12.csv,1.0,1.0,1.0
Setting_8_19.csv,1.0,1.0,1.0
Setting_2_14.csv,1.0,0.6,0.8
Setting_2_10.csv,1.0,0.75,0.9
Setting_8_2.csv,0.8888888888888888,1.0,0.9
Setting_5_6.csv,1.0,1.0,1.0
Setting_3_4.csv,1.0,1.0,1.0
Setting_1_14.csv,1.0,1.0,1.0
Setting_2_4.csv,1.0,0.75,0.9
Setting_7_3.csv,1.0,1.0,1.0
Setting_8_15.csv,0.75,1.0,0.8
Setting_2_13.csv,1.0,0.8,0.9
Setting_4_4.csv,1.0,0.5,0.9
Setting_5_16.csv,0.9,1.0,0.9
Setting_5_10.csv,0.7,1.0,0.7
Setting_1_17.csv,1.0,0.8,0.9
Setting_1_6.csv,1.0,1.0,1.0
Setting_8_16.csv,1.0,1.0,1.0
Setting_3_19.csv,1.0,0.5,0.9
Setting_8_1.csv,1.0,1.0,1.0
Setting_5_14.csv,1.0,1.0,1.0
Setting_7_6.csv,1.0,1.0,1.0
Setting_5_13.csv,0.8,1.0,0.8
Setting_2_17.csv,1.0,0.8,0.9
Setting_5_18.csv,0.8,1.0,0.8
Setting_6_1.csv,1.0,1.0,1.0
Setting_2_20.csv,1.0,0.8,0.9
Setting_5_20.csv,1.0,1.0,1.0
Setting_1_7.csv,1.0,0.75,0.9
Setting_7_4.csv,0.7142857142857143,1.0,0.8
Setting_4_1.csv,1.0,1.0,1.0
Setting_1_8.csv,1.0,1.0,1.0
Setting_3_1.csv,1.0,1.0,1.0
Setting_5_9.csv,0.875,1.0,0.9
Setting_1_12.csv,1.0,0.8,0.9
Setting_3_16.csv,1.0,1.0,1.0
Setting_4_10.csv,1.0,1.0,1.0
Setting_1_3.csv,1.0,1.0,1.0
Setting_4_3.csv,0.6666666666666666,1.0,0.9
Setting_6_12.csv,0.8888888888888888,1.0,0.9
Setting_1_19.csv,0.8,0.8,0.8
Setting_8_8.csv,0.875,1.0,0.9
Setting_4_6.csv,1.0,1.0,1.0
Setting_4_8.csv,1.0,0.5,0.9
Setting_4_20.csv,1.0,0.6666666666666666,0.9
Setting_2_5.csv,1.0,0.8571428571428571,0.9
Setting_5_5.csv,0.4444444444444444,1.0,0.5
Setting_8_14.csv,0.42857142857142855,1.0,0.6
Setting_3_14.csv,1.0,1.0,1.0
Setting_4_13.csv,1.0,1.0,1.0
Setting_5_19.csv,1.0,1.0,1.0
Setting_2_18.csv,0.6,1.0,0.8
Setting_7_2.csv,0.8,1.0,0.8
Setting_1_5.csv,1.0,1.0,1.0
Setting_2_8.csv,1.0,1.0,1.0
Setting_3_3.csv,0.1,1.0,0.1
Setting_1_18.csv,0.8571428571428571,1.0,0.9
Setting_7_19.csv,0.6666666666666666,1.0,0.8
Setting_7_9.csv,1.0,1.0,1.0
Setting_1_9.csv,1.0,1.0,1.0
Setting_1_16.csv,1.0,0.5,0.9
Setting_3_5.csv,1.0,1.0,1.0
Setting_5_15.csv,0.9,1.0,0.9
Setting_1_13.csv,1.0,1.0,1.0
Setting_8_3.csv,1.0,1.0,1.0
Setting_3_6.csv,1.0,1.0,1.0
Setting_6_14.csv,1.0,1.0,1.0
Setting_3_7.csv,1.0,1.0,1.0
Setting_5_3.csv,0.8,1.0,0.8
Setting_1_20.csv,1.0,1.0,1.0
Setting_8_20.csv,1.0,1.0,1.0
Setting_3_2.csv,1.0,1.0,1.0
Setting_4_12.csv,1.0,1.0,1.0
Setting_3_8.csv,1.0,1.0,1.0
Setting_4_5.csv,1.0,0.6666666666666666,0.9
Setting_7_14.csv,0.75,1.0,0.8
Setting_8_9.csv,1.0,1.0,1.0
Setting_7_5.csv,1.0,1.0,1.0
Setting_7_8.csv,1.0,1.0,1.0
Setting_7_17.csv,1.0,1.0,1.0
