,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.364742765884025,0.16002413436862273,0.12550724856212037,0.10445019985846796,-1.5,-0.04469449714677956,1.5320615430651021
X2,0.43866771945515654,0.014510972249716012,0.9465395086195446,0.2164104785625861,0.1,-0.40964577495572446,0.06705300199000959
X3,-0.16856652605875966,-0.4652924375258705,0.002116369688410651,0.15139355185458042,-0.5,-0.7620183489929814,-3.073396666013904
X4,0.03482620034151265,-0.22422984386354475,0.08979572766877768,0.1321738788085176,-0.3,-0.4832858880686022,-1.6964762318006121
X5,0.4565865268341664,0.19113391079808412,0.1581758198554123,0.13543749580914868,0.4,-0.07431870523799816,1.4112333490529083
X6,-0.02207689133768348,-0.15115134898494917,0.021721883825214845,0.06585552471742628,-0.2,-0.28022580663221486,-2.2951961833651966
X7,-0.12503294639803397,-0.2126344677436237,1.960976434796868e-06,0.044695474685039996,-0.25,-0.30023598908921345,-4.75740484337656
X8,0.9285335233765185,0.47617972985545903,0.03909388602388228,0.23079699092486367,0.35,0.023825936334399556,2.0631973057676483
X9,0.17550285188176726,-0.14727372456033497,0.37117448194181457,0.1646849515818159,-0.1,-0.47005030100243717,-0.8942755433678408
X10,0.8088610115635957,0.5807660336152348,6.026076084205613e-07,0.11637712628821799,0.5,0.35267105566687396,4.990379571471095
