,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,0.5402188624134588,0.47443435759245917,1.1386588128963224,0.2548454877774353,-0.38965539883088784,1.4700931236578056
X2,0.1,0.416522621857947,0.9230962935325727,0.4512233715769431,0.6518285666842997,-1.3927128819993284,2.225758125715222
X3,-0.5,-0.5936707835776215,0.7146136549619881,-0.8307576820781575,0.40611053328415603,-1.9942878212115396,0.8069462540562967
X4,-0.3,-1.0866102645131692,0.6131260933950151,-1.772245996735137,0.07635373131244057,-2.2883153350280367,0.1150948060016983
X5,0.4,-1.024738881464813,0.6058780112964586,-1.6913287202354075,0.09077403767312034,-2.212237971997465,0.16276020906783906
X6,-0.2,-0.3902254513551654,0.34008066227639133,-1.1474496925027164,0.251195813597369,-1.0567713065130504,0.2763204038027197
X7,-0.25,0.022102963864897157,0.20117284106153063,0.109870516061046,0.9125120657240433,-0.3721885623934247,0.41639449012321894
X8,0.35,-0.8667408714857188,1.084999123532761,-0.7988401581962642,0.424383101620747,-2.993300093641483,1.2598183506700456
X9,-0.1,0.30555742131116953,0.7370217102700152,0.41458401706949116,0.6784464505002554,-1.1389785980364904,1.7500934406588295
X10,0.5,0.87671562003437,0.594664453111586,1.474303055188433,0.14040001295419652,-0.2888053001440265,2.0422365402127665
