,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,0.5242621067901488,0.10785920146741063,4.860615502967109,1.1702134329099254e-06,0.31286195484527685,0.7356622587350208
X2,0.1,0.14425997570829321,0.2211890157915485,0.6522022587425668,0.5142707030278642,-0.28926253243857336,0.5777824838551598
X3,-0.5,-0.716490890353066,0.1480607252916789,-4.839169124300739,1.3038306130934386e-06,-1.006684581738646,-0.42629719896748586
X4,-0.3,-0.2907232802501907,0.13259634894688294,-2.1925436300410666,0.02834027631808079,-0.5506073507175191,-0.030839209782862198
X5,0.4,0.4216089309501962,0.12834188857246337,3.2850454020874933,0.0010196593933994077,0.1700634496561566,0.6731544122442358
X6,-0.2,-0.09530193980722093,0.0659259858536535,-1.445589907730435,0.1482922590059488,-0.22451449874489107,0.03391061913044921
X7,-0.25,-0.17549110427531678,0.04328823588740879,-4.0540137678921155,5.034625127168384e-05,-0.2603344882381461,-0.0906477203124875
X8,0.35,0.20069916211353767,0.2293387693242327,0.8751209518779394,0.38150809806163644,-0.24879656956626273,0.6501948937933381
X9,-0.1,0.0028380713854811433,0.16292309159250373,0.017419700042149985,0.9861017931785337,-0.31648532290452885,0.32216146567549114
X10,0.5,0.451412045377268,0.1142893397276982,3.9497301012744197,7.823936557977924e-05,0.2274090539272097,0.6754150368273263
