,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-2.111084675191722,-2.267801061638958,5.933681444440075e-177,0.07995880865527942,-1.5,-2.4245174480861937,-28.36211669205782
X2,0.5020790820196381,0.1917744764726125,0.22578155832759583,0.15832158424696866,0.1,-0.11853012907441315,1.2112971038330447
X3,-0.21439303244898025,-0.44992933720388884,0.00018112167967105177,0.12017379133234518,-0.5,-0.6854656419587974,-3.743988869915839
X4,-0.007425059467157796,-0.20582502929304725,0.04202070202987706,0.10122633366015368,-0.3,-0.4042249991189367,-2.0333150658608448
X5,0.5137874153295103,0.3176546833941977,0.0015017827525842461,0.10006955838745639,0.4,0.12152195145888514,3.1743388150498264
X6,-0.08533514351081499,-0.1841675954203365,0.00025994202635353897,0.05042564654734552,-0.2,-0.283000047329858,-3.6522604672489094
X7,-0.23776023350926867,-0.3047221929254424,4.698319479143119e-19,0.034164892526686065,-0.25,-0.3716841523416161,-8.919161466333462
X8,0.7382183346918454,0.39372900960357876,0.025083650126497485,0.17576308804052865,0.35,0.04923968451531208,2.24011203941063
X9,0.09841037221373619,-0.14552079846138827,0.24230456466867611,0.12445696486013236,-0.1,-0.3894519691365127,-1.1692459206676615
X10,0.5974282841056888,0.425090388790842,1.3350288298517458e-06,0.08792911263413347,0.5,0.2527524934759952,4.83446694793352
