,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.3271571516631891,-0.5368874076360505,5.240221593727343e-07,0.10700719807754702,-1.5,-0.7466176636089119,-5.017301801015046
X2,0.9685174675712455,0.5329879664391647,0.016460341507526732,0.22221301061248103,0.1,0.09745846530708391,2.3985452740597917
X3,-0.1147975314807328,-0.4249221280667959,0.00724266371724631,0.15822974125344297,-0.5,-0.735046724652859,-2.685475718412387
X4,-0.03944685024278333,-0.3152028166920567,0.025069081419318122,0.14069440379990314,-0.3,-0.5909587831413301,-2.2403365605098338
X5,0.49101843199200945,0.22163362341763426,0.10684436681908546,0.13744375334157932,0.4,-0.04775118515674093,1.612540534067225
X6,-0.06018399370092925,-0.20324700799682052,0.0053612799155600185,0.07299267450621097,-0.2,-0.3463100222927118,-2.7844850099241967
X7,-0.1446202320374741,-0.23441914176301193,3.1131318140993435e-07,0.045816611797735995,-0.25,-0.32421805148854976,-5.116466114908035
X8,1.2960783982063275,0.817930515103315,0.0008001049586311002,0.2439574824348878,0.35,0.3397826320003026,3.3527584681548785
X9,0.001311104387920481,-0.3316509203210794,0.050908975452908005,0.16988170431140565,-0.1,-0.6646129450300793,-1.952246250797784
X10,0.5399108900273524,0.2999713528271813,0.014272202618050176,0.12242037976216454,0.5,0.06003181562701024,2.450338362043629
