,Truth,0.975],Coef,P-value,Std.Err,[0.025,z,RunTime,Steps
X1,-1.5,1.8414660968888932,1.5876739623784688,1.4640452405549983e-34,0.12948816126746432,1.3338818278680444,12.261151497078163,224.44056820869446,88
X2,0.1,0.5286513217432255,0.023511885898081574,0.9273120726703975,0.25772893575858735,-0.4816275499470623,0.09122718731165277,224.44056820869446,88
X3,-0.5,-0.16536514739091862,-0.4808332558667296,0.002814008795594914,0.16095607290532427,-0.7963013643425405,-2.9873570297006427,224.44056820869446,88
X4,-0.3,-0.17495489586178786,-0.47458656997738585,0.0019067392322397987,0.15287611104877333,-0.7742182440929839,-3.104386726752714,224.44056820869446,88
X5,0.4,0.46042265560517986,0.1671381715852181,0.26401469117642185,0.14963768927386512,-0.12614631243474367,1.1169523693948775,224.44056820869446,88
X6,-0.2,-0.08448359312945389,-0.2341024105685416,0.0021645401362264147,0.07633753346443492,-0.3837212280076293,-3.0666750672211354,224.44056820869446,88
X7,-0.25,-0.06570239463636264,-0.16994853643153024,0.001397073082374475,0.05318778395683166,-0.27419467822669785,-3.195255071530412,224.44056820869446,88
X8,0.35,0.598088894783503,0.08854908679482983,0.73339916795477,0.25997406482398305,-0.42099072119384334,0.3406073865667427,224.44056820869446,88
X9,-0.1,0.16130551268431031,-0.21345467941222718,0.2642724076804758,0.1912076916190999,-0.5882148715087647,-1.1163498581293736,224.44056820869446,88
X10,0.5,0.6733198467937167,0.4185645456648128,0.0012808642190781433,0.1299795818335969,0.1638092445359089,3.2202330532242334,224.44056820869446,88
