,Truth,Coef,Std.Err,z,P-value,[0.025,0.975]
X1,-1.5,-2333.658758519484,579221183.207101,-4.028959620568784e-06,0.9999967853553227,-1135255000.782081,1135250333.464564
X2,0.1,1834.4509416757226,1072118100.715075,1.7110530457905628e-06,0.9999986347771921,-2101311046.6989799,2101314715.600863
X3,-0.5,1108.601887803883,,,,,
X4,-0.3,-594.358398404673,,,,,
X5,0.4,1874.2232796422272,,,,,
X6,-0.2,-457.93545568451754,,,,,
X7,-0.25,-1020.6062810755807,,,,,
X8,0.35,597.0154156356609,,,,,
X9,-0.1,1168.6143457852231,,,,,
X10,0.5,1535.1409906423848,,,,,
