,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime
X1,-1.5,0.010398240160307557,0.10047058066739015,0.10349537238896964,0.9175698220720865,-0.18652048100687313,0.20731696132748823,14.098313093185425
X2,0.1,-0.16486921548991884,0.22511455634065766,-0.7323791858240756,0.4639371593469096,-0.6060856417935796,0.2763472108137419,14.098313093185425
X3,-0.5,-0.3436955321478395,0.1476295073265523,-2.3280950967857303,0.019907054612326214,-0.6330440518456182,-0.05434701245006074,14.098313093185425
X4,-0.3,-0.16840406078172176,0.13219871640191969,-1.2738706196641736,0.2027092723282684,-0.4275087857756939,0.09070066421225037,14.098313093185425
X5,0.4,0.243703852401873,0.13530195721765595,1.8011849748029467,0.07167372977754932,-0.02148311287427282,0.5088908176780188,14.098313093185425
X6,-0.2,-0.24995073702395113,0.06574034206187632,-3.8020906065364213,0.00014348023239275565,-0.3787994408129145,-0.12110203323498778,14.098313093185425
X7,-0.25,-0.23011625035521682,0.045003819628501314,-5.113260435553834,3.1664525845562476e-07,-0.3183221166895728,-0.14191038402086087,14.098313093185425
X8,0.35,0.4857572140783955,0.22898100795651005,2.121386478352189,0.033889292215915294,0.03696268179992224,0.9345517463568688,14.098313093185425
X9,-0.1,-0.15068974663952125,0.1617687355376107,-0.9315134110353875,0.35158805061548704,-0.4677506446187589,0.1663711513397164,14.098313093185425
X10,0.5,0.3960681331182038,0.11630607735141987,3.4053949899924865,0.0006606841731814948,0.16811240852820553,0.6240238577082021,14.098313093185425
