,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,0.6564184703061942,0.4508963056256026,1.7081604034701077e-05,0.10486017328919899,-1.5,0.24537414094501103,4.299976735514767
X2,-0.07160725586980216,-0.5119023512706188,0.022683588058021818,0.22464448091945394,0.1,-0.9521974466714354,-2.278722135417878
X3,-0.10420109442670927,-0.3861587600270754,0.007268316110446672,0.14385859413763014,-0.5,-0.6681164256274414,-2.6842939925968943
X4,0.1126012979371892,-0.1474884169908638,0.2663825180026871,0.132701271517259,-0.3,-0.4075781319189168,-1.1114318295863623
X5,0.648601765667755,0.3938847950753774,0.002438946236740975,0.1299600250782043,0.4,0.13916782448299975,3.030815012834559
X6,0.03434468531911662,-0.09792035576331283,0.14677186540709744,0.06748340330864723,-0.2,-0.2301853968457423,-1.4510287116886627
X7,-0.1836794272320867,-0.2744537055613182,3.105897573356824e-09,0.04631425798087695,-0.25,-0.3652279838905497,-5.9259009541864955
X8,0.7173333510264335,0.2805231619222668,0.20813679767786464,0.22286643484480664,0.35,-0.15628702718189985,1.258705296370041
X9,0.24794588266691645,-0.07060543627852758,0.663985643663942,0.16252916836505366,-0.1,-0.38915675522397164,-0.43441701565802676
X10,0.735947429466054,0.5090559901825068,1.095575571926903e-05,0.11576306467034454,0.5,0.28216455089895964,4.397395591004197
