,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,-0.5685434186138998,-0.6647414435957402,8.642519096791327e-42,3164.4106121063232,0.04908152648816018,-1.5,-0.7609394685775805,-13.543617958909534
X2,0.24730934477419744,0.04139289125425861,0.6935900242188024,3164.4106121063232,0.10506134475936234,0.1,-0.16452356226568024,0.3939878301488232
X3,-0.31175592442836964,-0.4527914995543402,3.125549198790784e-10,3164.4106121063232,0.07195824776678071,-0.5,-0.5938270746803108,-6.292419751824056
X4,-0.13498637088156049,-0.26029761445370136,4.6760643998401935e-05,3164.4106121063232,0.06393548227015439,-0.3,-0.3856088580258422,-4.071254414783862
X5,0.3906525926457344,0.2633433112956791,5.029581859643531e-05,3164.4106121063232,0.06495490802384905,0.4,0.13603402994562383,4.0542480823618305
X6,-0.07409653293387602,-0.1363231697713813,1.7564360987732558e-05,3164.4106121063232,0.03174886724322756,-0.2,-0.19854980660888655,-4.293796333803398
X7,-0.1717430702293095,-0.21497531913405696,1.9177591469990745e-22,3164.4106121063232,0.022057674990330144,-0.25,-0.2582075680388044,-9.74605524962626
X8,0.4701202878035753,0.2513641499009469,0.024314801968623102,3164.4106121063232,0.11161232446240257,0.35,0.032608011998318503,2.252118223607293
X9,-0.017630425943655936,-0.17282040465096946,0.0290633211531364,3164.4106121063232,0.07918001489176,-0.1,-0.328010383358283,-2.1826265742336237
X10,0.5547487602883502,0.44629198771698764,7.316758900466513e-16,3164.4106121063232,0.055336104424041736,0.5,0.3378352151456251,8.065113949782997
