,0.975],Coef,P-value,Std.Err,Truth,[0.025,z
X1,-0.4360885680527002,-0.8364460280973798,4.224401703240371e-05,0.20426776208373193,-1.5,-1.2368034881420593,-4.094850893576197
X2,2.1454732513083323,1.2852455159710525,0.003407827087515613,0.4388997631269145,0.1,0.4250177806337727,2.9283349501362217
X3,0.24609802930837843,-0.33657933228620407,0.2575676259789895,0.2972898285859243,-0.5,-0.9192566938807866,-1.1321589234558158
X4,0.3544842283704488,-0.167821633539456,0.5288553526914315,0.26648747727504424,-0.3,-0.6901274954493608,-0.6297542956070904
X5,1.2906390917968116,0.7644669330505101,0.004405029744190778,0.2684601139338791,0.4,0.23829477430420865,2.8475996744857075
X6,-0.00010266577413253763,-0.26639816675373196,0.0499117377267492,0.1358675470465781,-0.2,-0.5326936677333314,-1.9607196313215647
X7,0.0059230554109592215,-0.168135226427619,0.05832222635826761,0.08880687698272938,-0.25,-0.3421935082661972,-1.8932680907168586
X8,1.2791148290550582,0.33210512239946494,0.4918708712885259,0.48317709236271345,0.35,-0.6149045842561285,0.6873362327164277
X9,0.3260947811793332,-0.31477221556406954,0.33571411292748377,0.3269789632582041,-0.1,-0.9556392123074723,-0.962668094691782
X10,0.592812389286207,0.11552783445500583,0.6352048284527952,0.2435170007363407,0.5,-0.36175672037619544,0.4744138360183298
