,Truth,Coef,Std.Err,z,P-value,[0.025,0.975],RunTime,Steps
X1,-1.5,249.01479587576682,0.850637561880443,292.73900781584086,0.0,247.34757687743337,250.68201487410028,32.98804593086243,7
X2,0.1,0.03268467919816858,1.3916763998017492,0.023485832771774146,0.9812627391795801,-2.694950964062867,2.760320322459204,32.98804593086243,7
X3,-0.5,-0.34001766999870714,1.0320457664805458,-0.3294598757555356,0.7418081170826811,-2.3627902186529837,1.6827548786555693,32.98804593086243,7
X4,-0.3,-0.24862573676933294,0.8887792193410717,-0.2797384675056428,0.7796781632539201,-1.9906010106259373,1.4933495370872714,32.98804593086243,7
X5,0.4,0.18167020485431776,0.9434569914902391,0.19255801429523595,0.8473051292002323,-1.6674715340148574,2.030811943723493,32.98804593086243,7
X6,-0.2,-0.1285410172429105,0.5655674794761174,-0.22727794986016076,0.820207617950523,-1.2370329165868394,0.9799508821010185,32.98804593086243,7
X7,-0.25,-0.20043748119579866,0.317962234366513,-0.6303814086447628,0.5284450715251489,-0.8236320139137269,0.4227570515221296,32.98804593086243,7
X8,0.35,0.29025698315662213,1.7659977595255536,0.16435863612567747,0.869448824280914,-3.17103504959412,3.7515490159073646,32.98804593086243,7
X9,-0.1,-0.1617975506349775,1.5654914629793306,-0.10335256017752793,0.9176831619358428,-3.2301044603817983,2.906509359111843,32.98804593086243,7
X10,0.5,0.5026797147023626,0.797695126791865,0.6301652070058615,0.5285865005373391,-1.0607740167851283,2.0661334461898537,32.98804593086243,7
