,,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
Setting_1_5.csv,R,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_5.csv,LA,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_5.csv,GH,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_1_10.csv,R,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_1_10.csv,LA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Setting_1_10.csv,GH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Setting_1_11.csv,R,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_1_11.csv,LA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_1_11.csv,GH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_2_8.csv,R,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Setting_2_8.csv,LA,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
Setting_2_8.csv,GH,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Setting_3_10.csv,R,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Setting_3_10.csv,LA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Setting_3_10.csv,GH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_2_17.csv,R,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_17.csv,LA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_17.csv,GH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Setting_2_16.csv,R,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_2_16.csv,LA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_2_16.csv,GH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_1_7.csv,R,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_7.csv,LA,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_7.csv,GH,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_7.csv,R,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_2_7.csv,LA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_7.csv,GH,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_1_18.csv,R,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_1_18.csv,LA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_1_18.csv,GH,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_3_1.csv,R,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Setting_3_1.csv,LA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Setting_3_1.csv,GH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_2_15.csv,R,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_15.csv,LA,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_15.csv,GH,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_1_16.csv,R,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_1_16.csv,LA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_1_16.csv,GH,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_2_9.csv,R,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_9.csv,LA,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_9.csv,GH,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_15.csv,R,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_15.csv,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_1_15.csv,GH,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_13.csv,R,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_1_13.csv,LA,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_1_13.csv,GH,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Setting_1_1.csv,R,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_1.csv,LA,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_1_1.csv,GH,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Setting_2_14.csv,R,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_2_14.csv,LA,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_2_14.csv,GH,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_2_6.csv,R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_2_6.csv,LA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_2_6.csv,GH,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_2_5.csv,R,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_2_5.csv,LA,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_2_5.csv,GH,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_1_14.csv,R,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_1_14.csv,LA,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_1_14.csv,GH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Setting_2_13.csv,R,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_13.csv,LA,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_13.csv,GH,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_2.csv,R,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_2.csv,LA,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_2_2.csv,GH,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_2_3.csv,R,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_2_3.csv,LA,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_2_3.csv,GH,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_2_18.csv,R,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Setting_2_18.csv,LA,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Setting_2_18.csv,GH,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Setting_1_2.csv,R,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_1_2.csv,LA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Setting_1_2.csv,GH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setting_1_17.csv,R,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_1_17.csv,LA,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_1_17.csv,GH,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Setting_1_6.csv,R,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_1_6.csv,LA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Setting_1_6.csv,GH,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
