,Precision,Recall,True negative rate,Accuracy
X1,0.5454545454545454,1.0,0.0,0.5454545454545454
X2,0.3157894736842105,1.0,0.3389830508474576,0.4935064935064935
X3,0.6403508771929824,1.0,0.49382716049382713,0.7337662337662337
X4,0.6065573770491803,1.0,0.4,0.6883116883116883
X5,0.5952380952380952,1.0,0.35443037974683544,0.6688311688311688
X6,0.525974025974026,1.0,0.0,0.525974025974026
X7,0.6948051948051948,1.0,0.0,0.6948051948051948
X8,0.5,0.9827586206896551,0.40625,0.6233766233766234
X9,0.43859649122807015,1.0,0.38461538461538464,0.5844155844155844
X10,0.5657894736842105,1.0,0.029411764705882353,0.5714285714285714
