,Precision,Recall,True negative rate,Accuracy
X1,0.7162162162162162,1.0,0.0,0.7162162162162162
X2,0.1,0.9230769230769231,0.2,0.2635135135135135
X3,0.5916666666666667,0.9726027397260274,0.3466666666666667,0.6554054054054054
X4,0.44,0.9649122807017544,0.23076923076923078,0.5135135135135135
X5,0.5703125,0.9864864864864865,0.25675675675675674,0.6216216216216216
X6,0.4797297297297297,1.0,0.0,0.4797297297297297
X7,0.7162162162162162,1.0,0.0,0.7162162162162162
X8,0.31666666666666665,0.926829268292683,0.2336448598130841,0.42567567567567566
X9,0.14166666666666666,0.85,0.1953125,0.28378378378378377
X10,0.6326530612244898,1.0,0.01818181818181818,0.6351351351351351
